filename,ticker,matched_company_name,confidence
Giza General Contracting Stock Price History.csv,GGCC.CA,Giza General Contracting,1
Go Green for Agricultural Stock Price History.csv,GGRN.CA,Go Green for Agricultural,1
GMC Group Stock Price History.csv,GMCI.CA,GMC Group,1
Golden Coast Co Stock Price History.csv,GOCO.CA,Golden Coast Co,1
Gourmet Egyptcom Foods Stock Price History.csv,GOUR.CA,Gourmet Egyptcom Foods,1
GPI for Urban Growth Stock Price History.csv,GPIM.CA,GPI for Urban Growth,1
Grand Invest Capital Stock Price History.csv,GRCA.CA,Grand Invest Capital,0.67
General Silos&Storage Stock Price History.csv,GSSC.CA,General Silos&Storage,1
GTEX for Commercial Industrial Stock Price History.csv,GTEX.CA,GTEX for Commercial Industrial,1
Golden Textiles&Clothes Wool Stock Price History.csv,GTWL.CA,Golden Textiles&Clothes Wool,1
Housing&Develop Bank Stock Price History.csv,HDBK.CA,Housing&Develop Bank,0.67
Misr El Gadida for Housing Dev Stock Price History.csv,HELI.CA,Misr El Gadida for Housing Dev,0.8
EFG Hermes Holdings Stock Price History.csv,HRHO.CA,EFG Hermes Holdings,1
Global Telecom Stock Price History.csv,GTHE.CA,Global Telecom,1
Telecom Egypt Stock Price History.csv,ETEL.CA,Telecom Egypt,1
Integrated Diagnostics Holding Co Stock Price History.csv,IDHC.CA,Integrated Diagnostics Holding Co,1
New lsmailia for Urban Dev Stock Price History.csv,IDRE.CA,New lsmailia for Urban Dev,0.75
Industrial Engineer Enterprises Stock Price History.csv,IEEC.CA,Industrial Engineer Enterprises,1
Int Agricultural Products Stock Price History.csv,IFAP.CA,Int Agricultural Products,0.67
Integrated Engineering Stock Price History.csv,INEG.CA,Integrated Engineering,1
Ismailia Food Industries Stock Price History.csv,INFI.CA,Ismailia Food Industries,1
Egyptian Co for International Stock Price History.csv,EITP.CA,Egyptian Co for International,1
International Business Stock Price History.csv,IBCT.CA,International Business,1
Ibnsina Pharma Stock Price History.csv,ISPH.CA,Ibnsina Pharma,1
Juhayna Food Stock Price History.csv,JUFO.CA,Juhayna Food,1
El Nasr Clothing & Textiles Stock Price History.csv,KABO.CA,El Nasr Clothing & Textiles,1
Korra Energi Stock Price History.csv,KORA.CA,Korra Energi,1
Al Khair River for Development Agricultural Invest Stock Price History.csv,KRDI.CA,Al Khair River for Development Agricultural Invest,0.83
Cairo National Co for Investment and Securities Stock Price History.csv,KWIN.CA,Cairo National Co for Investment and Securities,1
Kafr El Zayat Pesticides Stock Price History.csv,KZPC.CA,Kafr El Zayat Pesticides,1
Lecico Egypt Stock Price History.csv,LCSW.CA,Lecico Egypt,1
Lotus for Agricultural Investments Stock Price History.csv,LUTS.CA,Lotus for Agricultural Investments,1
